note_title,valid
cesareanopnote,1
opnote,1
opnotecesarean,1
cesareandeliveryoperativereport,1
cesariansectiondeliverynote,1
csdeliverynote,1
deliverynote,1
deliverysummary,1
midiwfevaginaldeliverynote,1
midwiferuobvaginaldeliverynote,1
midwiferyobvaginaldeliverynote,1
midwiferyvaginaldeliverynote,1
midwifevaginaldeliverynote,1
midwifevaginaldeliverynote*,1
midwifgevaginaldeliverynote,1
obvacuumassistedvaginaldeliverynote,1
obvacuum-assistedvaginaldeliverynote,1
obvacuumdeliverynote,1
obvacuumvaginaldeliverynote,1
obvagdeliverynote,1
obvaginaldeliverynote,1
obvavddeliverynote,1
operativedelivery,1
operativereport-cesareandelivery,1
vacuumassistedvaginaldelivery,1
dischargearrangements,0
vaginaldelivery,1
vaginaldeliverynote,1
vaginaldeliverynote*,1
dischargesummaryobnote,1
dischargesummaryobpatients_intern,1
dischargesummary(standard)kut,1
dischargesummaryobpatients,1
obpatientdischargesummary,1
dischargesummaryobpatient,1
dischargesummarynote,1
obpostpartumdischargesummary,1
dischargesummary(standard),1
rs_dischargesummaryobpatients,1
obdischargesummary,1
dischargesummary,1
anespreopnote,0
anesthesiacombinedspinalepiduralc-sectionpost-opnote,0
anesthesiacsec-sectionpost-opnote,0
anesthesiaobpost-opnote,0
anesthesiapostopnote,0
anesthesiapost-opnote,0
anesthesiapost-opnote*,0
anesthesiapre-opnote,0
anesthesiaspinalbtlpost-opnote,0
anesthesiaspinalc-sectionpost-opnote,0
attendingpreopnote,0
biefopnote_tubal,0
briefopnote,0
briefpost-opnote,0
btlopnote,0
btlpre-opnote,0
crsbriefopnote,0
epiduralpostopnote,0
l&dpreopnote,0
mfmpostopnote,0
obattendingpreopnote,0
obattendingpre-opnote,0
obbriefopnote,0
obcesareandeliverypre-opnote,0
obpostopnote,0
obpreopnote,0
obpre-opnote,0
obpreopnotebtl,0
obscheduledcdpre-opnote,0
plasticsurgerybriefopnote,0
postopnote,0
post-opnotec-sectioncse,0
postpartumbtlpost-opnote,0
preopnote,0
pre-opnote,0
salpingectomypostopnote,0
surgerypostopnote*,0
tubalsterilizationpreopnote,0
urologybriefopnote,0
decisionforcesareandelivery,0
decisiontoproceedwithdelivery,0
delivery*,0
deliveryattendance,0
deliveryattendancenote,0
delivery*ed,0
deliveryeventsandrepair,0
deliveryexam,0
deliverymodedecision,0
deliveryplanupdatenote,0
deliveryroomassessment,0
deliveryroomattendance,0
deliveryroomevent,0
deliveryroomnote,0
deliveryroomrtassist-text,0
extramuraldeliverynote,0
handpforemergentdelivery,0
indicationsfordelivery,0
laboranddelivery,0
laboranddeliveryadmission,0
laboranddeliveryadmissionnote,0
laboranddeliveryadmissionnote.,0
laboranddeliveryprogressnote,0
nicudeliveryattendance,0
nicudeliverynote,0
nnpattendanceatdeliverynote,0
obadmissioncesareandeliveryh&p,0
obadmissionh&pcesareandelivery,0
obadmissionh&pl&dcesareandelivery,0
obadmissionh&ppreopcesareandelivery*,0
obadmissionh&punscheduledcesareandelivery,0
"obadmissionh&p,unscheduledcesareandelivery",0
obadmissionunscheduledcesareandelivery,0
obcesareandeliveryadmissionh&p,0
obcesareandeliverypre-opnote,0
obextramuralvaginaldeliverynote,0
oblaboradmissionanddeliverynotefromcodesub,0
oblaboranddeliveryadmitnote,0
obl&dcesareandeliveryadmissionh&p,0
obscheduledcesareandelivery,0
obunscheduledcesareandelivery,0
obvaginaldeliverybabyb,0
obvaginaldeliverynote2,0
obvaginaldeliverynote-extramural,0
obvaginaldeliverynotetwina,0
operativedeliverydiscussion,0
postpartumdeliverynote,0
postpartumnsvddeliverynote,0
postpartumnsvddeliverynote_ak,0
postpartumvaginaldeliveryprogressnote,0
postpartumvavddeliverynote,0
postvaginaldeliverynote,0
nursingdischargesummary-text,0
ednursingdischargesummary-text,0
anesthesiaobpacuspinaldischargenote,0
anesthesiacombinedspinalepiduralobpacudischargenote,0
obpacudischargedefaultnote,0
obpacudischargenote-spinal,0
anesthesiagaobpacudischargenote,0
anesthesiapacudischargenoteendo,0
cmedpostdischargeprogressnote-text,0
obanesthesiapacudischargenote-epidural,0
anesthesiaobpacudischargedefaultnote,0
anesthesiapacudischargeob,0
anesthesiapacudischarge,0
anesthesiapacudischargedefaultnote,0
cmdischargeplan-text,0
obanesthesiapacudischargenote,0
anesthesiapacuobdischargenote,0
earlydischargenote*,0
insulinregimenfordischarge,0
obanesthesiapacudischarge,0
anesthesiaepiduralobpacudischargenote,0
obpacudischargenoteepidural,0
discharge,0
postdischargefollowupphonecall-text,0
mwdischargeteachingnote*,0
dischargenote,0
endocrinedischargerecommendations,0
patientdischargeheld,0
