note_title,valid
obadmissionh&punscheduledcs,1
admissiontol&dforscheduledinduction,1
obadmissioniolh&p,1
antepartumadmission,1
obadmissionh&p-unscheduledcesareansection,1
obcesareandeliveryadmissionh&p,1
obadmissionh&pl&dlabor,1
*pre-operativeservicesh&p,0
obtriageadmissionassessment-text,0
obinductionadmission,1
obadmissionh&piol,1
obadmissionl&p,1
oblaboradmissionjrc,1
obadmissionh&pcs,1
obtriageadmissionforiol,1
obcodesubadmissionh&p,1
obadmissionassessment-text,0
obcesareanadmissionh&p,1
obcesaeranadmissionh&p,1
midwifeadmissionnote,1
oblabouradmissionh&p,1
"obtriage,oblaboradmission",1
obestetricsadmissionh&p,1
obadmissionh+p,1
obl&dcesareandeliveryadmissionh&p,1
obabdmissionh&p,1
obadmssionh&pl&d,1
obioladmisisonh&p,1
obantepartumadmissionh&p,1
unscheduledcsadmissionh&p,1
admissiontol&d,1
obasmissionh&p,1
obadmissionh&pl&d,1
attendingadmissionnote,0
obadmissionh7p,1
obadmissoinh&p,1
obstetricsh&padmissionnote,1
obpostpartumadmission,0
obtolacadmission,1
obppromadmission.,1
obecvadmission,0
obstetricsadmissionh&p,1
obadmissionh&pinduction,1
obadmissionh&p*,1
obunscheduledioladmission,1
obh&pforiol,1
obunscheduledcsh&p,1
midwiferyobioladmissionh&p,1
obtolach&p,1
obadmissionh&o,1
obadmissionforiol,1
obceaseareanadmissionh&p,1
obadmissionhistoryandphysical,1
midwifelaboradmission,1
obadmissionsh&p,1
obioladmiossionh&p,1
obearlylaboradmissionh&p,1
oblabouradmission,1
obh&padmissionnote,1
obscheduledcsadmission,1
obun-scheduledcdh&p*,1
obscheduledcsadmissionnote,1
obuscheduledcsadmissionh&p,1
admissionh&pl&d,1
obcesareansectionadmissionh&p,1
micuadmissionhistoryandphysical,0
obl&dadmission,1
micuconsult(h&p),0
obadmissiontoantepartum,1
obl&dadmissioniolh&p,1
nccuadmissionnote,0
ccucardiologyadmissionh&p,0
obscheduledcdadmissionh&p,1
obanepartumadmission,1
admissionforiol,1
obunscheduledcesareanadmission,1
obioladmissionh&p_gm,1
obunscheduledc-sectionadmissionh&p,1
oblabouradmissionh+p,1
obcsadmissionnote,1
obcesareanadmissionh&p,1
obunscheduledcesareansectionadmissionh&p,1
obmdadmissionnote,1
obstetricsadmissionh&pantepartum,1
obscheduledcsh&p*,1
obstetricalh&p,1
obceareanadmissionh&p,1
obllaboradmissionh&p,1
obcesareanadmission,1
cesareanadmissionh&p,1
surgicalicuh&p,0
obadmisisonh&p,1
ioladmissionh&p,1
oblaboradmissionnote,1
obadmissiontol&dnote,1
obl&dadmssionh&p,1
obtolacadmissionnote,1
obunscheduledcesareansectionh&p,1
obadmissionl&dh&p,1
obunscheduledcdh&p*,1
icuadmissionh&p,0
obioladmissionh&p,1
midwifeioladmissionnote,1
obadmissionh&pforiol,1
laboranddeliveryadmissionnote.,1
obioladmissionh+p,1
obscheduledcsadmissionh&p,1
obadmissionhp,1
traumasurgeryh&p,1
obadmissionh&ppreop,1
obinductionadmissionh&pnote.,1
tolacadmission,1
obantepartumh&p,1
obadmissionh&plaboradmission*,1
obmidwifeadmission,1
obtolaclaboradmission,1
obadmisionh&p,1
scheduledcesareansectionh&p,1
admissionhistoryandphysical,1
obadmissionh&pnote,1
obadmissionforiolnote,1
obcsh&p,1
obpreeclampsiaadmissionh&p,1
adsmissionh&p,1
obunscheduledcesareanadmissionh&p,1
l&dadmissionh&p,1
obunscheduledcsadmission,1
obiolh&pnote,1
obadmissionh&pc-section,1
obobservationh&p,0
ioladmission,1
obadmissinh&p,1
obinductionadmissionnote,1
obadmimssionsh&p,1
obscheduledcdh&p,1
obadmissionunscheduledcesareandelivery,1
obioladmissionsh&p,1
oblaboradmission+,1
obaugmenationadmissionh&p,1
obunscheduledcsadmissionnote,1
obunscheduledcsadmissionh&p,1
obpromadmissionh&p,1
obunscheduledadmissionh&p,1
obscheduledcesareanadmissionh&p,1
pre-operativeservicesh&p,0
obl&dadmissionnote,1
obadmissionh&punscheduledcd,1
obamdmissionh&p,1
l&dadmissionnote,1
laboradmissionnote,1
antepartumadmissionnote,1
laboranddeliveryadmissionnote,1
admissioncovid-19riskassessment-text,0
xgssurgeryconsulth&p,0
midwifeadmissionh&p,1
obadmissioniol,1
anesthesiah&p,0
unscheduledcsadmissionnote,1
obiollaboradmission,1
obtolacadmissionh&p,1
oblaboradmission,1
obstetricadmissionh&p,1
obinductionh&pnote,1
mwlaboradmission,1
obstetricsadmissionh&pl&d,1
obtriage,1
obadmissioinh&p,1
obantepartumadmssionh&p,1
admission,1
obadmiussionh&p,1
obadmissionforl&dforscheduledcd,1
attendingh&p,0
obestricsadmissionh&p,1
oblaboradmissiontolac,1
obadmissinoh&p,1
obh&pl&d,1
obppromadmissionnote,1
anteadmissionnote,1
obsromadmissionh&p,1
obscheduledcsh&p,1
obioladmissionnote,1
h&p,1
obadmissionandh&pnote,1
obantepartumadmisisionh&p,1
obearlylabortolacadmissionh&p,1
laboeadmission,1
unscheduledcesareansectionadmissionh&p,1
obioladmissiontol&d,1
admissionnotification-text,1
obadmissionh&ppreop*,1
obcodesubadmissionnote,1
midwiferyoblaboradmission,1
obscheduledcesareansectionadmissionh&p,1
obunscheduledcdh&p,1
obadmissionl&dforinduction,1
inductionadmissiontol&d,1
obh&p,1
obadmisssionh&p,1
obantepartumadmissionh&pl&d,1
obcsadmissionh&p,1
admissioncesarean,1
obtolach&p*,1
obadmissionforscheduledinduction,1
midwifeioladmission,1
laboranddeliveryadmission,1
obinductionoflaboradmission,1
obunshceduledcsadmission,1
obadmission-unscheduledcsection,1
obpretermlaboradmission,1
obunscheduledcdadmissionh&p,1
unscheduledcesareanadmissionnote,1
obiolh&padmission,1
obioladmission,1
unscheduledcdadmissionnote,1
obunscheduledcdadmission,1
micuadmissionnote,0
obschedulescesareanh&p,1
obstetrich&padmissionnote,1
obadmissionh&punscheduledcesareandelivery,1
midiwfelaboradmission,1
oboligoadmissionh&p,1
obscheduledcdh&p*,1
obadmissionscheduledcesarean,1
midiwifelaboradmission,1
obppromadmissionh&p,1
anesthesiaobh&p,0
obantpartumadmissionnote,1
obadmissionh&p,1
obadmissionh&pl&dcesarean,1
obadmissionhpi,1
admissionh&piol,1
oblaboradmissionmidwife,1
csadmissionh&p,1
obcdh&p*,1
obunscheduledcesareanh&p,1
obadmissiontol&d,1
ioladmissionnote,1
pre-operativeh&p,0
obscheduledcesareanadmission,1
obadmission,1
obioladmissionh&pnote,1
handpadmission,0
obadmissionh&ppreopcesareandelivery*,1
admissionnote,1
obstetricsadmissionnote,1
obadmissionnote,1
obunscheduledcesareanadmissionnote,1
laboradmissionnote.,1
midwiferylaboradmission,1
obadmissionscheduledcesareanh&p,1
obadmissionh&pforunscheduledcs,1
oblaboradmissionh&p,1
oblaboradmission-tolac,1
obadmission-scheduledcsection,1
obunscheduledceasareanh&p,1
obl&dadmissionh&p,1
midwifeadmission,1
obstetricadmissioh&p,1
anesthesiah&p*,0
midwifeadmissionh+p,1
obschedulecsh&p,1
medicineeadmissionh&p,0
midwifelaboradmissionnote,1
obunscheduledc-setionadmissionh&p,1
ccufellowadmissionnote,0
obadmissioncesareandeliveryh&p,1
admissionh&pforiol,1
obadmissionh&pantepartum,1
obppromadmission,1
obcdadmissionh&p,1
obiolh&p,1
laboradmission,1
obinductionadmissionh&p,1
cacuchfadmission,0
obtriageandadmission,1
obscheduledcesareansecitonadmissionh&pp,1
oblaboradmissionanddeliverynotefromcodesub,1
obactiveadmissionh&p,1
obscheduledversionh&p,1
